rail_id	run_accession	sample_accession	experiment_accession	study_accession	submission_accession	sra_ID	run_ID	run_alias	run_date	updated_date	spots	bases	run_center	experiment_name	run_attribute	experiment_ID	experiment_alias	experiment_title	study_name	sample_name	design_description	library_name	library_strategy	library_source	library_selection	library_layout	library_construction_protocol	read_spec	platform	instrument_model	platform_parameters	experiment_url_link	experiment_attribute	sample_ID	sample_alias	taxon_id	common_name	description	sample_url_link	sample_attribute	study_ID	study_alias	study_title	study_type	study_abstract	center_project_name	study_description	study_url_link	study_attribute	related_studies	primary_study	submission_ID	submission_comment	submission_center	submission_lab	submission_date	sradb_updated	layout	cell_type	tissue	cell_line	strain	age	disease	population	sex	source_name	project	sample	experiment	run	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	paired_end	sra_misreported_paired_end	mapped_read_count	auc	sharq_beta_tissue	sharq_beta_cell_type	biosample_submission_date	biosample_publication_date	biosample_update_date	avg_read_length	geo_accession	bigwig_file	title	characteristics	junction_count	junction_coverage	junction_avg_coverage
14580	SRR2313089	SRS1060804	SRX1210935	SRP063493	SRA296861	2557108	2225690	GSM1872077_r1	NA	2015-09-11	46233135	7027436520	NA	GSM1872077	NA	1944669	GSM1872077	GSM1872077: 863P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872077	1662774	GSM1872077	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060804	SRX1210935	SRR2313089	92466270	92466270	1	TRUE	FALSE	91864972	6964639823	NA	NA	2015-09-08T12:06:37.000	2015-09-09T01:25:25.647	2015-09-09T08:18:29.957	152	GSM1872077	SRR2313089.bw	863P-R	disease state: MDS	74590	13934056	186.808633865129
15096	SRR1105578	SRS505441	SRX378888	SRP033115	SRA111602	1839117	1529650	410-433	NA	2014-11-20	41763559	6181006732	NA	NA	NA	1335911	SF3B1 mutation in breast cancer	SF3B1 Wildtype Sample 410-433	NA	NA	NA	410-433	RNA-Seq	TRANSCRIPTOMIC	other	PAIRED - NOMINAL_LENGTH: 274;	NA	READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 75	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	NA	1120477	410-433	9606	NA	NA	NA	anonymized_name: Sample_A20_0001 || body_site: Breast || sex: Female || SF3B1 K700E mutation status: Wildtype	42437	PRJNA229096	SF3B1 mutations in Breast Cancer	Transcriptome Analysis	SF3B1 mutations in Breast Cancer	Homo sapiens	NA	NA	NA	NA	NA	377895	SF3B1 mutation in breast cancer	Instutite of Cancer Research	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	F	NA	SRP033115	SRS505441	SRX378888	SRR1105578	83527118	83527118	1	TRUE	FALSE	76654337	5527002340	NA	NA	2013-11-19T06:52:06.767	2014-11-21T06:54:13.370	2014-11-21T06:54:13.370	148	NA	SRR1105578.bw	NA	NA	175702	2805499	15.9673708893467
15563	SRR2313068	SRS1060825	SRX1210914	SRP063493	SRA296861	2557058	2225669	GSM1872056_r1	NA	2015-09-11	59768044	10758247920	NA	GSM1872056	NA	1944648	GSM1872056	GSM1872056: CLL371; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872056	1662795	GSM1872056	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: Weill Cornell Medicine || disease state: CLL || sf3b1 mutation: G742D|I704F	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060825	SRX1210914	SRR2313068	119536088	119536088	1	TRUE	FALSE	119489089	10664321307	NA	NA	2015-09-08T12:06:12.000	2015-11-17T09:57:09.897	2015-11-17T10:01:07.790	180	GSM1872056	SRR2313068.bw	CLL371	c("disease state: CLL", "sf3b1 mutation: G742D|I704F")	273946	17627380	64.3461850145649
15617	SRR1105614	SRS527285	SRX423313	SRP033115	SRA111602	1839108	1529659	529-590	NA	2014-11-20	40247991	5956702668	NA	NA	NA	1335918	SF3B1 Sample 529-590	SF3B1 wildtype Sample 529-590	NA	NA	NA	529-590	RNA-Seq	TRANSCRIPTOMIC	other	PAIRED - NOMINAL_LENGTH: 268;	NA	READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 75	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	NA	1120484	529-590	9606	NA	NA	NA	anonymized_name: Sample_A20_0011 || body_site: Breast || sex: Female || SF3B1 K700E mutation status: Wildtype	42437	PRJNA229096	SF3B1 mutations in Breast Cancer	Transcriptome Analysis	SF3B1 mutations in Breast Cancer	Homo sapiens	NA	NA	NA	NA	NA	377895	SF3B1 mutation in breast cancer	Instutite of Cancer Research	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	F	NA	SRP033115	SRS527285	SRX423313	SRR1105614	80495982	80495982	1	TRUE	FALSE	76748492	5590348319	NA	NA	2013-11-19T06:52:07.310	2014-11-21T06:54:13.593	2014-11-21T06:54:13.593	148	NA	SRR1105614.bw	NA	NA	161667	1921860	11.8877693035684
15656	SRR1105613	SRS527313	SRX423332	SRP033115	SRA111602	1839119	1529658	529-534	NA	2014-11-20	29617382	4383372536	NA	NA	NA	1335923	SF3B1 Sample 529-534	SF3B1 wildtype Sample 529-534	NA	NA	NA	529-534	RNA-Seq	TRANSCRIPTOMIC	other	PAIRED - NOMINAL_LENGTH: 271;	NA	READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 75	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	NA	1120489	529-534	9606	NA	NA	NA	anonymized_name: Sample_A20_0016 || body_site: Breast || sex: Female || SF3B1 K700E mutation status: Wildtype	42437	PRJNA229096	SF3B1 mutations in Breast Cancer	Transcriptome Analysis	SF3B1 mutations in Breast Cancer	Homo sapiens	NA	NA	NA	NA	NA	377895	SF3B1 mutation in breast cancer	Instutite of Cancer Research	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	F	NA	SRP033115	SRS527313	SRX423332	SRR1105613	59234764	59234764	1	TRUE	FALSE	34243605	2106781535	NA	NA	2013-11-19T06:52:07.593	2014-11-21T06:54:13.727	2014-11-21T06:54:13.727	148	NA	SRR1105613.bw	NA	NA	45497	263147	5.78383190100446
16581	SRR1660316	SRS750208	SRX765931	SRP050146	SRA204208	2195116	1871136	GSM1552797_r1	NA	2014-11-24	36336879	7267375800	NA	GSM1552797	NA	1619881	GSM1552797	GSM1552797: SF3B1 wildtype sample 1; Homo sapiens; RNA-Seq	GSE63569	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was extracted using Trizol reagent, DNase treated (Invitrogen) and purified using XP beads (Beckman Coulter). Purified DNase-treated total RNA (100ng) was processed using NEBNext Ultra directional mRNA Library prep (NEB) as per manufacturerÃ¢â‚¬â„¢s protocol for Illumina with two alterations: custom indexes were designed in-house and an additional purification step was performed using XP beads (Beckman Coulter) rather than size selection.	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1552797: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1552797	GEO Accession: GSM1552797	1362479	GSM1552797	9606	NA	NA	NA	source_name: CD34+ cells, MDS, SF3B1 wildtype || cell type: bone marrow CD34+ cells || disease status: myelodysplastic syndromes (MDS) || mds subtype: RCMD || sf3b1 status: wildtype	58098	GSE63569	RNA sequencing of bone marrow CD34+ cells from myelodysplastic syndrome patients with and without SF3B1 mutation and from healthy controls	Transcriptome Analysis	The splicing factor SF3B1 is the most commonly mutated gene in the myelodysplastic syndromes (MDS), particularly in patients with refractory anemia with ring sideroblasts (RARS). MDS is a disorder of the hematopoietic stem cell and we thus studied the transcriptome of CD34+ cells from MDS patients with SF3B1 mutations using RNA-sequencing. Genes significantly differentially expressed at the transcript and/or exon level in SF3B1 mutant compared to wildtype cases include genes involved in MDS pathogenesis (ASXL1, CBL), iron homeostasis and mitochondrial metabolism (ALAS2, ABCB7, SLC25A37) and RNA splicing/processing (PRPF8, HNRNPD). Many genes regulated by a DNA damage-induced BRCA1-BCLAF1-SF3B1 protein complex showed differential expression/splicing in SF3B1 mutant cases. Our data indicate that SF3B1 plays a critical role in MDS by affecting the expression and splicing of genes involved in specific cellular processes/pathways, many of which are relevant to the known RARS pathophysiology, suggesting a causal link. Overall design: RNA-Seq was performed to compare the transcriptome of bone marrow CD34+ cells from eight MDS patients with SF3B1 mutation, four MDS patients with no known splicing mutation and five healthy controls.	GSE63569	NA	NA	NA	NA	NA	435932	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	BONE MARROW CD34+ CELLS	NA	NA	NA	NA	NA	NA	NA	CD34+ CELLS, MDS, SF3B1 WILDTYPE	SRP050146	SRS750208	SRX765931	SRR1660316	72673758	72673758	1	TRUE	FALSE	63784849	5946196870	NA	NA	2014-11-21T19:45:41.357	2014-11-22T00:44:04.530	2014-11-22T01:40:34.620	200	GSM1552797	SRR1660316.bw	SF3B1 wildtype sample 1	c("cell type: bone marrow CD34+ cells", "disease status: myelodysplastic syndromes (MDS)", "mds subtype: RCMD", "sf3b1 status: wildtype")	132924	6804298	51.189386416298
17542	SRR1660308	SRS750200	SRX765923	SRP050146	SRA204208	2195113	1871128	GSM1552789_r1	NA	2014-11-24	90916117	18183223400	NA	GSM1552789	NA	1619873	GSM1552789	GSM1552789: SF3B1 mutated sample 1; Homo sapiens; RNA-Seq	GSE63569	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was extracted using Trizol reagent, DNase treated (Invitrogen) and purified using XP beads (Beckman Coulter). Purified DNase-treated total RNA (100ng) was processed using NEBNext Ultra directional mRNA Library prep (NEB) as per manufacturerÃ¢â‚¬â„¢s protocol for Illumina with two alterations: custom indexes were designed in-house and an additional purification step was performed using XP beads (Beckman Coulter) rather than size selection.	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	GEO Sample GSM1552789: http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1552789	GEO Accession: GSM1552789	1362471	GSM1552789	9606	NA	NA	NA	source_name: CD34+ cells, MDS, SF3B1 mutated || cell type: bone marrow CD34+ cells || disease status: myelodysplastic syndromes (MDS) || mds subtype: RARS || sf3b1 status: mutated	58098	GSE63569	RNA sequencing of bone marrow CD34+ cells from myelodysplastic syndrome patients with and without SF3B1 mutation and from healthy controls	Transcriptome Analysis	The splicing factor SF3B1 is the most commonly mutated gene in the myelodysplastic syndromes (MDS), particularly in patients with refractory anemia with ring sideroblasts (RARS). MDS is a disorder of the hematopoietic stem cell and we thus studied the transcriptome of CD34+ cells from MDS patients with SF3B1 mutations using RNA-sequencing. Genes significantly differentially expressed at the transcript and/or exon level in SF3B1 mutant compared to wildtype cases include genes involved in MDS pathogenesis (ASXL1, CBL), iron homeostasis and mitochondrial metabolism (ALAS2, ABCB7, SLC25A37) and RNA splicing/processing (PRPF8, HNRNPD). Many genes regulated by a DNA damage-induced BRCA1-BCLAF1-SF3B1 protein complex showed differential expression/splicing in SF3B1 mutant cases. Our data indicate that SF3B1 plays a critical role in MDS by affecting the expression and splicing of genes involved in specific cellular processes/pathways, many of which are relevant to the known RARS pathophysiology, suggesting a causal link. Overall design: RNA-Seq was performed to compare the transcriptome of bone marrow CD34+ cells from eight MDS patients with SF3B1 mutation, four MDS patients with no known splicing mutation and five healthy controls.	GSE63569	NA	NA	NA	NA	NA	435932	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	BONE MARROW CD34+ CELLS	NA	NA	NA	NA	NA	NA	NA	CD34+ CELLS, MDS, SF3B1 MUTATED	SRP050146	SRS750200	SRX765923	SRR1660308	181832234	181832234	1	TRUE	FALSE	165507955	15678333901	NA	NA	2014-11-21T19:45:54.473	2014-11-22T00:44:04.590	2014-11-22T01:44:23.267	200	GSM1552789	SRR1660308.bw	SF3B1 mutated sample 1	c("cell type: bone marrow CD34+ cells", "disease status: myelodysplastic syndromes (MDS)", "mds subtype: RARS", "sf3b1 status: mutated")	218090	18332570	84.0596542711724
17566	SRR2313073	SRS1060820	SRX1210919	SRP063493	SRA296861	2557067	2225674	GSM1872061_r1	NA	2015-09-11	59955546	10791998280	NA	GSM1872061	NA	1944653	GSM1872061	GSM1872061: CLL230-DMSO; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872061	1662790	GSM1872061	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: Weill Cornell Medicine || disease state: CLL	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060820	SRX1210919	SRR2313073	119911092	119911092	1	TRUE	FALSE	119871878	10727287943	NA	NA	2015-09-08T12:06:17.000	2015-11-17T09:57:16.990	2015-11-17T10:01:09.663	180	GSM1872061	SRR2313073.bw	CLL230-DMSO	disease state: CLL	280154	18972962	67.7233307395218
17652	SRR2313086	SRS1060807	SRX1210932	SRP063493	SRA296861	2557066	2225687	GSM1872074_r1	NA	2015-09-11	28334867	4306899784	NA	GSM1872074	NA	1944666	GSM1872074	GSM1872074: 703P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872074	1662777	GSM1872074	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS || sf3b1 mutation: K700E	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060807	SRX1210932	SRR2313086	56669734	56669734	1	TRUE	FALSE	56225332	4244277000	NA	NA	2015-09-08T12:06:33.000	2015-09-09T01:25:22.687	2015-09-09T08:18:25.537	152	GSM1872074	SRR2313086.bw	703P-R	c("disease state: MDS", "sf3b1 mutation: K700E")	146057	8861566	60.6719705320526
18093	SRR2313121	SRS1060773	SRX1210967	SRP063493	SRA296861	2557061	2225722	GSM1872109_r1	NA	2015-09-11	38581780	6944720400	NA	GSM1872109	NA	1944701	GSM1872109	GSM1872109: CFPAC-1 #2; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872109	1662743	GSM1872109	9606	NA	NA	NA	source_name: Pancreas || biomaterial_provider: American Type Culture Collection || cell line: CFPAC-1	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	CFPAC-1	NA	NA	NA	NA	NA	PANCREAS	SRP063493	SRS1060773	SRX1210967	SRR2313121	77163560	77163560	1	TRUE	FALSE	76984575	6819009008	NA	NA	2015-09-08T12:07:12.000	2015-09-09T01:25:52.123	2015-09-09T08:18:40.590	180	GSM1872109	SRR2313121.bw	CFPAC-1 #2	cell line: CFPAC-1	234400	13026656	55.5744709897611
18119	SRR2313088	SRS1060805	SRX1210934	SRP063493	SRA296861	2557105	2225689	GSM1872076_r1	NA	2015-09-11	35832286	5446507472	NA	GSM1872076	NA	1944668	GSM1872076	GSM1872076: 826P-R; Homo sapiens; RNA-Seq	GSE72790	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED -	Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols	NA	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	GEO Accession: GSM1872076	1662775	GSM1872076	9606	NA	NA	NA	source_name: Bone Marrow || biomaterial_provider: MD Anderson Cancer Center || disease state: MDS || sf3b1 mutation: E622D	68837	GSE72790	Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point	Other	Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3Ã¢â‚¬â„¢ splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3Ã¢â‚¬â„¢ ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3Ã¢â‚¬â„¢ ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each	GSE72790	NA	NA	NA	NA	NA	491545	submission brokered by GEO	GEO	NA	NA	2018-02-15 18:13:00	PAIRED	NA	NA	NA	NA	NA	NA	NA	NA	BONE MARROW	SRP063493	SRS1060805	SRX1210934	SRR2313088	71664572	71664572	1	TRUE	FALSE	70806053	5355113075	NA	NA	2015-09-08T12:06:35.000	2015-09-09T01:25:24.700	2015-09-09T08:18:26.217	152	GSM1872076	SRR2313088.bw	826P-R	c("disease state: MDS", "sf3b1 mutation: E622D")	183904	10706205	58.2162704454498
18174	SRR628583	SRS378243	SRX208364	SRP017413	SRA062359	1644699	1336647	s_2_ACAGTGA_0708	NA	2013-07-30	17657635	3566842270	NA	NA	NA	1192932	MM065T RNA-SEQ	Transcriptome sequencing of uveal melanoma MM065T	NA	NA	NA	NA	RNA-Seq	TRANSCRIPTOMIC	NA	PAIRED - NOMINAL_LENGTH: 300;	NA	READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 102	ILLUMINA	Illumina HiSeq 2000	INSTRUMENT_MODEL: Illumina HiSeq 2000	NA	NA	996140	MM065T	9606	NA	NA	NA	tissue: Eye || sf3b1 mutation status: Class 1 R625C || disease: melanoma	30930	PRJNA182344	Transcriptome profiling of primary uveal  melanomas	Transcriptome Analysis	Uveal melanoma is the most common primary malignancy of the eye. By studying the expression of genes in primary uveal melanoma tumors we hope to gain an understanding of the underlying molecular biology. Expression analysis between uveal melanoma classes may make particularly important contributions to diagnosis and treatment decisions.	Homo sapiens	NA	NA	NA	NA	NA	345914	NA	Washington University in St. Louis	Bowcock Lab	2012-12-04	2018-02-15 18:13:00	PAIRED	NA	EYE	NA	NA	NA	MELANOMA	NA	NA	NA	SRP017413	SRS378243	SRX208364	SRR628583	35315270	35315270	1	TRUE	FALSE	34859964	3479846527	NA	NA	2012-11-29T12:33:37.350	2012-12-03T11:08:40.553	2014-03-06T16:46:05.001	202	NA	SRR628583.bw	NA	NA	177025	4021397	22.7165485100974
